FSA,ProvinceTerritory,n_days,concentration
H1L,QC,93.0,52.0
H1L,QC,122.0,61.0
H1L,QC,92.0,73.0
H1M,QC,91.0,30.0
*,QC,91.0,132.0
H1S,QC,91.0,76.0
H1T,QC,91.0,7.5
H1T,QC,92.0,64.0
H1W,QC,100.0,7.5
H1W,QC,128.0,139.0
H1Y,QC,96.0,7.5
H1Y,QC,94.0,7.5
*,QC,120.0,60.0
*,QC,92.0,114.0
*,QC,104.0,26.0
*,QC,110.0,7.5
*,QC,96.0,7.5
*,QC,93.0,90.0
*,QC,90.0,26.0
*,QC,92.0,33.0
*,QC,98.0,111.0
*,QC,106.0,85.0
H3S,QC,91.0,7.5
H3S,QC,176.0,7.5
*,QC,97.0,17.0
*,QC,93.0,7.5
*,QC,93.0,7.5
*,QC,91.0,7.5
H1G,QC,90.0,7.5
H1G,QC,93.0,352.0
*,QC,90.0,16.0
*,QC,70.0,7.5
H8Z,QC,91.0,7.5
H8Z,QC,103.0,35.0
H8Z,QC,90.0,120.0
H8Z,QC,95.0,278.0
H9J,QC,103.0,130.0
*,QC,91.0,7.5
*,QC,121.0,143.0
H9S,QC,91.0,31.0
H4L,QC,92.0,7.5
H4L,QC,91.0,22.0
H1S,QC,100.0,7.5
H3E,QC,96.0,7.5
H3E,QC,101.0,30.0
H4H,QC,91.0,7.5
H4H,QC,110.0,7.5
H4H,QC,90.0,7.5
J0W,QC,90.0,7.5
J0W,QC,92.0,31.0
J0W,QC,91.0,83.0
J0W,QC,93.0,132.0
J0X,QC,158.0,21.0
J0X,QC,91.0,99.0
J8V,QC,91.0,31.0
J8V,QC,91.0,155.0
J8V,QC,60.0,407.0
J0X,QC,99.0,7.5
J9B,QC,91.0,7.5
J9B,QC,91.0,18.0
J9B,QC,97.0,90.0
J9B,QC,93.0,711.0
J0X,QC,90.0,144.0
J9E,QC,91.0,622.0
J0V,QC,92.0,262.0
J0X,QC,96.0,35.0
J0X,QC,118.0,106.0
J8M,QC,92.0,7.5
J8M,QC,96.0,59.0
J8M,QC,92.0,114.0
J8P,QC,92.0,7.5
J8P,QC,98.0,32.0
J8R,QC,99.0,7.5
J8R,QC,91.0,22.0
J8R,QC,91.0,36.0
J8T,QC,94.0,7.5
J8T,QC,115.0,20.0
J8T,QC,114.0,35.0
J8T,QC,91.0,163.0
*,QC,93.0,61.0
*,QC,92.0,25.0
J9H,QC,148.0,17.0
J9H,QC,91.0,125.0
J9J,QC,91.0,30.0
J9J,QC,90.0,122.0
J0X,QC,115.0,7.5
J0W,QC,92.0,24.0
J0T,QC,95.0,26.0
J0X,QC,92.0,122.0
J0X,QC,93.0,143.0
J8L,QC,118.0,7.5
J8L,QC,106.0,59.0
J0X,QC,155.0,26.0
J9E,QC,102.0,917.0
J0V,QC,93.0,31.0
J0V,QC,117.0,69.0
J8L,QC,100.0,17.0
J0V,QC,98.0,221.0
J0V,QC,91.0,132.0
J0X,QC,89.0,34.0
J0V,QC,94.0,73.0
J0V,QC,96.0,26.0
J0V,QC,92.0,163.0
J0X,QC,118.0,141.0
J0X,QC,92.0,145.0
J0X,QC,100.0,7.5
J0X,QC,96.0,313.0
J8N,QC,91.0,52.0
J8N,QC,97.0,313.0
J0X,QC,91.0,16.0
J0X,QC,123.0,47.0
J9T,QC,91.0,7.5
J9T,QC,94.0,7.5
J9T,QC,91.0,7.5
J9T,QC,93.0,7.5
J9T,QC,93.0,7.5
J9T,QC,116.0,7.5
J9T,QC,91.0,7.5
J9T,QC,131.0,7.5
J9T,QC,97.0,19.0
J9T,QC,63.0,31.0
J9T,QC,102.0,35.0
J9T,QC,100.0,69.0
J0Y,QC,91.0,7.5
J0Z,QC,92.0,18.0
J0Z,QC,123.0,151.0
J0Z,QC,91.0,7.5
J0Z,QC,92.0,20.0
J0Z,QC,92.0,7.5
J0Z,QC,93.0,29.0
J0Z,QC,92.0,7.5
J0Z,QC,92.0,90.0
J0Z,QC,91.0,7.5
J0Z,QC,92.0,212.0
J0Z,QC,91.0,7.5
J9Z,QC,91.0,7.5
J9Z,QC,90.0,7.5
J9Z,QC,91.0,7.5
J9Z,QC,91.0,7.5
J9Z,QC,139.0,7.5
J9Z,QC,93.0,31.0
J9Z,QC,92.0,90.0
J9Z,QC,92.0,96.0
J0Y,QC,99.0,7.5
J0Z,QC,210.0,39.0
J0Z,QC,91.0,34.0
J0Z,QC,102.0,77.0
J0Z,QC,92.0,20.0
J9X,QC,98.0,7.5
J9X,QC,93.0,27.0
J0Z,QC,91.0,127.0
J0Z,QC,90.0,16.0
J0Z,QC,122.0,43.0
J0Z,QC,101.0,23.0
J0Y,QC,92.0,22.0
J0Y,QC,111.0,529.0
J9X,QC,192.0,17.0
J9X,QC,91.0,24.0
J9X,QC,97.0,31.0
J9X,QC,92.0,54.0
J9X,QC,92.0,76.0
J9X,QC,90.0,89.0
J9Y,QC,92.0,7.5
J9Y,QC,92.0,7.5
J9Y,QC,134.0,16.0
J0Y,QC,97.0,7.5
J0Y,QC,97.0,7.5
J0Y,QC,92.0,23.0
J0Y,QC,92.0,77.0
J0Y,QC,91.0,112.0
J0Y,QC,93.0,249.0
J0Z,QC,92.0,7.5
J0Y,QC,97.0,23.0
J9P,QC,103.0,7.5
J9P,QC,97.0,7.5
J9P,QC,101.0,7.5
J9P,QC,118.0,25.0
J9P,QC,91.0,67.0
J9P,QC,137.0,97.0
*,QC,92.0,7.5
G4Z,QC,94.0,7.5
G4Z,QC,105.0,7.5
G4Z,QC,108.0,7.5
G4Z,QC,91.0,7.5
G4Z,QC,91.0,24.0
G4Z,QC,104.0,30.0
G4Z,QC,91.0,31.0
G4Z,QC,94.0,62.0
G4Z,QC,92.0,107.0
G4Z,QC,117.0,164.0
G4Z,QC,91.0,167.0
G4Z,QC,91.0,204.0
G5C,QC,130.0,7.5
G5C,QC,91.0,7.5
G5C,QC,90.0,26.0
G5C,QC,59.0,40.0
G0G,QC,104.0,7.5
G0G,QC,124.0,126.0
G0G,QC,97.0,18.0
G0G,QC,119.0,101.0
G0G,QC,91.0,23.0
G0H,QC,90.0,7.5
G0H,QC,106.0,63.0
G0H,QC,92.0,359.0
G0G,QC,97.0,28.0
G0G,QC,113.0,55.0
G0T,QC,109.0,7.5
G0T,QC,96.0,7.5
G0T,QC,91.0,26.0
G0T,QC,91.0,33.0
G0T,QC,92.0,36.0
G0T,QC,92.0,40.0
G0T,QC,103.0,46.0
G0T,QC,98.0,86.0
G0T,QC,152.0,114.0
G0T,QC,132.0,137.0
G0T,QC,93.0,276.0
G0T,QC,109.0,7.5
G0G,QC,91.0,18.0
G0G,QC,92.0,21.0
G0G,QC,92.0,22.0
G0G,QC,93.0,39.0
G0G,QC,163.0,65.0
G0T,QC,99.0,7.5
G0T,QC,94.0,7.5
G0T,QC,93.0,17.0
G0T,QC,133.0,60.0
G0T,QC,90.0,91.0
G0G,QC,92.0,7.5
G0T,QC,98.0,7.5
G0T,QC,92.0,7.5
G0T,QC,92.0,25.0
G0T,QC,92.0,77.0
G0T,QC,148.0,152.0
G0G,QC,98.0,7.5
G0G,QC,91.0,7.5
G0G,QC,105.0,27.0
G0G,QC,96.0,30.0
G0G,QC,94.0,38.0
G0G,QC,99.0,57.0
G0G,QC,77.0,121.0
G0H,QC,90.0,7.5
G0H,QC,91.0,15.0
G0H,QC,91.0,24.0
G5B,QC,95.0,7.5
G5B,QC,92.0,7.5
G5B,QC,92.0,21.0
G5B,QC,121.0,25.0
G5B,QC,139.0,63.0
G5B,QC,98.0,107.0
G0H,QC,92.0,25.0
G0H,QC,99.0,7.5
G0H,QC,91.0,7.5
G0G,QC,95.0,29.0
G0T,QC,121.0,20.0
G0T,QC,91.0,106.0
G0G,QC,91.0,7.5
G4R,QC,98.0,7.5
G4R,QC,110.0,23.0
G4R,QC,88.0,24.0
G4R,QC,96.0,25.0
G4R,QC,92.0,32.0
G4R,QC,91.0,42.0
G4R,QC,90.0,51.0
G4R,QC,92.0,62.0
G4R,QC,97.0,67.0
G4R,QC,102.0,68.0
G4R,QC,91.0,73.0
G4R,QC,92.0,75.0
G4R,QC,92.0,77.0
G4R,QC,91.0,82.0
G4R,QC,97.0,99.0
G4R,QC,91.0,136.0
G4R,QC,93.0,142.0
G4R,QC,101.0,147.0
G4R,QC,91.0,154.0
G4R,QC,94.0,208.0
G4R,QC,92.0,234.0
G4S,QC,123.0,7.5
G4S,QC,91.0,7.5
G4S,QC,93.0,7.5
G4S,QC,91.0,7.5
G4S,QC,92.0,7.5
G4S,QC,109.0,18.0
G4S,QC,133.0,60.0
G0T,QC,91.0,128.0
G0G,QC,91.0,27.0
J0Z,QC,91.0,7.5
J0Z,QC,91.0,33.0
G0W,QC,104.0,106.0
G0W,QC,107.0,7.5
G0W,QC,113.0,18.0
G0W,QC,107.0,18.0
G0W,QC,91.0,22.0
G0W,QC,91.0,22.0
G0W,QC,59.0,22.0
G0W,QC,120.0,23.0
G0W,QC,140.0,27.0
G0W,QC,91.0,28.0
G0W,QC,90.0,29.0
G0W,QC,92.0,30.0
G0W,QC,92.0,30.0
G0W,QC,95.0,35.0
G0W,QC,91.0,35.0
G0W,QC,90.0,36.0
G0W,QC,90.0,36.0
G0W,QC,103.0,37.0
G0W,QC,97.0,40.0
G0W,QC,91.0,41.0
G0W,QC,94.0,44.0
G0W,QC,92.0,54.0
G0W,QC,94.0,62.0
G0W,QC,95.0,69.0
G0W,QC,91.0,77.0
G0W,QC,93.0,83.0
G0W,QC,101.0,86.0
G0W,QC,101.0,132.0
G0W,QC,92.0,133.0
G0W,QC,92.0,145.0
G0W,QC,91.0,152.0
G0W,QC,91.0,183.0
G0W,QC,83.0,191.0
G0W,QC,90.0,201.0
G0W,QC,90.0,293.0
G0W,QC,92.0,492.0
G8P,QC,125.0,7.5
G8P,QC,98.0,7.5
G8P,QC,110.0,7.5
G8P,QC,92.0,7.5
G8P,QC,102.0,7.5
G8P,QC,93.0,7.5
G8P,QC,91.0,7.5
G8P,QC,91.0,7.5
G8P,QC,92.0,7.5
G8P,QC,123.0,7.5
G8P,QC,97.0,7.5
G8P,QC,141.0,7.5
G8P,QC,91.0,7.5
G8P,QC,116.0,7.5
G8P,QC,93.0,7.5
G8P,QC,91.0,7.5
G8P,QC,93.0,7.5
G8P,QC,93.0,7.5
G8P,QC,100.0,7.5
G8P,QC,103.0,7.5
G8P,QC,86.0,7.5
G8P,QC,91.0,7.5
G8P,QC,91.0,7.5
G8P,QC,90.0,7.5
G8P,QC,123.0,7.5
G8P,QC,97.0,7.5
G8P,QC,96.0,7.5
G8P,QC,93.0,7.5
G8P,QC,91.0,7.5
G8P,QC,93.0,7.5
G8P,QC,105.0,7.5
G8P,QC,91.0,7.5
G8P,QC,93.0,7.5
G8P,QC,98.0,7.5
G8P,QC,91.0,7.5
G8P,QC,91.0,7.5
G8P,QC,97.0,7.5
G8P,QC,95.0,7.5
G8P,QC,71.0,7.5
G8P,QC,159.0,7.5
G8P,QC,92.0,7.5
G8P,QC,92.0,7.5
G8P,QC,96.0,7.5
G8P,QC,91.0,7.5
G8P,QC,90.0,7.5
G8P,QC,95.0,7.5
G8P,QC,60.0,15.0
G8P,QC,123.0,15.0
G8P,QC,91.0,15.0
G8P,QC,92.0,16.0
G8P,QC,91.0,16.0
G8P,QC,93.0,16.0
G8P,QC,96.0,16.0
G8P,QC,105.0,16.0
G8P,QC,91.0,16.0
G8P,QC,124.0,16.0
G8P,QC,92.0,17.0
G8P,QC,103.0,17.0
G8P,QC,91.0,18.0
G8P,QC,91.0,18.0
G8P,QC,108.0,18.0
G8P,QC,100.0,19.0
G8P,QC,94.0,19.0
G8P,QC,127.0,20.0
G8P,QC,109.0,20.0
G8P,QC,99.0,20.0
G8P,QC,112.0,20.0
G8P,QC,91.0,21.0
G8P,QC,106.0,21.0
G8P,QC,96.0,21.0
G8P,QC,136.0,21.0
G8P,QC,91.0,21.0
G8P,QC,88.0,22.0
G8P,QC,91.0,22.0
G8P,QC,91.0,22.0
G8P,QC,132.0,23.0
G8P,QC,91.0,24.0
G8P,QC,91.0,24.0
G8P,QC,104.0,25.0
G8P,QC,100.0,25.0
G8P,QC,92.0,25.0
G8P,QC,90.0,25.0
G8P,QC,92.0,26.0
G8P,QC,92.0,27.0
G8P,QC,91.0,27.0
G8P,QC,99.0,27.0
G8P,QC,91.0,28.0
G8P,QC,91.0,29.0
G8P,QC,96.0,30.0
G8P,QC,91.0,30.0
G8P,QC,90.0,32.0
G8P,QC,176.0,32.0
G8P,QC,93.0,32.0
G8P,QC,93.0,32.0
G8P,QC,92.0,33.0
G8P,QC,92.0,34.0
G8P,QC,92.0,36.0
G8P,QC,91.0,36.0
G8P,QC,97.0,38.0
G8P,QC,92.0,39.0
G8P,QC,102.0,40.0
G8P,QC,91.0,43.0
G8P,QC,118.0,47.0
G8P,QC,139.0,47.0
G8P,QC,117.0,48.0
G8P,QC,149.0,49.0
G8P,QC,141.0,49.0
G8P,QC,119.0,50.0
G8P,QC,117.0,55.0
G8P,QC,92.0,57.0
G8P,QC,107.0,57.0
G8P,QC,90.0,64.0
G8P,QC,94.0,64.0
G8P,QC,99.0,65.0
G8P,QC,98.0,66.0
G8P,QC,92.0,67.0
G8P,QC,91.0,71.0
G8P,QC,92.0,74.0
G8P,QC,92.0,74.0
G8P,QC,95.0,76.0
G8P,QC,90.0,78.0
G8P,QC,91.0,80.0
G8P,QC,92.0,82.0
G8P,QC,91.0,83.0
G8P,QC,100.0,83.0
G8P,QC,94.0,87.0
G8P,QC,97.0,89.0
G8P,QC,99.0,102.0
G8P,QC,98.0,110.0
G8P,QC,92.0,126.0
G8P,QC,91.0,173.0
G8P,QC,92.0,188.0
G8P,QC,99.0,223.0
G8P,QC,92.0,223.0
G8P,QC,92.0,224.0
G8P,QC,96.0,241.0
G8P,QC,89.0,247.0
G8P,QC,95.0,249.0
G8P,QC,108.0,270.0
G8P,QC,91.0,276.0
G8P,QC,91.0,410.0
G8P,QC,92.0,24.0
G0W,QC,68.0,7.5
G8P,QC,92.0,242.0
J0Y,QC,120.0,7.5
J0Y,QC,115.0,7.5
J0Y,QC,107.0,7.5
J0Y,QC,103.0,7.5
J0Y,QC,103.0,7.5
J0Y,QC,95.0,7.5
J0Y,QC,92.0,7.5
J0Y,QC,91.0,7.5
J0Y,QC,110.0,16.0
J0Y,QC,91.0,16.0
J0Y,QC,92.0,18.0
J0Y,QC,92.0,19.0
J0Y,QC,110.0,22.0
J0Y,QC,92.0,24.0
J0Y,QC,90.0,25.0
J0Y,QC,111.0,27.0
J0Y,QC,91.0,28.0
J0Y,QC,91.0,32.0
J0Y,QC,93.0,35.0
J0Y,QC,107.0,83.0
J0Y,QC,97.0,95.0
J0Y,QC,93.0,108.0
J0Y,QC,141.0,7.5
J0Y,QC,135.0,7.5
J0Y,QC,126.0,7.5
J0Y,QC,113.0,7.5
J0Y,QC,101.0,7.5
J0Y,QC,96.0,7.5
J0Y,QC,93.0,7.5
J0Y,QC,92.0,7.5
J0Y,QC,91.0,7.5
J0Y,QC,64.0,7.5
J0Y,QC,93.0,18.0
J0Y,QC,112.0,19.0
J0Y,QC,96.0,19.0
J0Y,QC,134.0,27.0
J0Y,QC,107.0,49.0
J0Y,QC,91.0,22.0
J0Z,QC,89.0,7.5
J0Z,QC,133.0,87.0
J0Z,QC,93.0,125.0
J0Z,QC,91.0,170.0
G4T,QC,91.0,7.5
G4T,QC,99.0,7.5
G4T,QC,91.0,71.0
G4T,QC,97.0,71.0
G0C,QC,115.0,16.0
G0C,QC,90.0,42.0
G0C,QC,93.0,172.0
G4T,QC,94.0,16.0
G4T,QC,106.0,24.0
G4T,QC,91.0,27.0
G4T,QC,103.0,29.0
G4T,QC,96.0,331.0
G0J,QC,133.0,7.5
G0J,QC,148.0,60.0
G0J,QC,93.0,297.0
G0J,QC,115.0,184.0
G0J,QC,91.0,7.5
G0J,QC,89.0,254.0
G0C,QC,90.0,7.5
G0C,QC,135.0,60.0
G0C,QC,119.0,64.0
G0C,QC,92.0,36.0
G0C,QC,97.0,78.0
G0C,QC,90.0,212.0
G0C,QC,91.0,264.0
G0C,QC,94.0,279.0
G0C,QC,104.0,36.0
G0C,QC,90.0,24.0
G0C,QC,89.0,25.0
G0C,QC,122.0,26.0
G0E,QC,91.0,37.0
G0C,QC,93.0,110.0
G4T,QC,90.0,7.5
G4T,QC,91.0,7.5
G4T,QC,92.0,22.0
G4T,QC,93.0,24.0
G4T,QC,102.0,24.0
G4T,QC,111.0,31.0
G4T,QC,90.0,35.0
G4T,QC,99.0,20.0
G0C,QC,91.0,245.0
G0C,QC,92.0,322.0
G4X,QC,92.0,7.5
G4X,QC,116.0,16.0
G4X,QC,91.0,18.0
G4X,QC,91.0,19.0
G4X,QC,110.0,29.0
G4X,QC,90.0,36.0
G4X,QC,97.0,40.0
G4X,QC,92.0,71.0
G4X,QC,92.0,76.0
G4X,QC,92.0,85.0
G4X,QC,93.0,99.0
G4X,QC,90.0,99.0
G4X,QC,89.0,101.0
G4X,QC,92.0,107.0
G4X,QC,94.0,130.0
G4X,QC,91.0,133.0
G4X,QC,91.0,136.0
G4X,QC,90.0,145.0
G4X,QC,90.0,163.0
G4X,QC,93.0,165.0
G4X,QC,114.0,180.0
G4X,QC,92.0,187.0
G4X,QC,127.0,209.0
G4X,QC,107.0,219.0
G4X,QC,93.0,223.0
G4X,QC,91.0,224.0
G4X,QC,99.0,374.0
G4X,QC,91.0,457.0
G4X,QC,92.0,498.0
G4X,QC,92.0,570.0
G4X,QC,110.0,2923.0
G4T,QC,92.0,21.0
G0C,QC,107.0,218.0
G0C,QC,105.0,727.0
G0C,QC,109.0,97.0
G0E,QC,92.0,7.5
G0E,QC,112.0,62.0
G0E,QC,112.0,136.0
G0E,QC,90.0,271.0
G4T,QC,91.0,18.0
G4T,QC,94.0,127.0
G4T,QC,92.0,7.5
G4T,QC,96.0,7.5
G4T,QC,92.0,7.5
G4T,QC,95.0,37.0
G4T,QC,112.0,20.0
G4T,QC,92.0,27.0
G0C,QC,122.0,22.0
G4T,QC,91.0,7.5
G4T,QC,81.0,7.5
G0J,QC,92.0,79.0
G4T,QC,91.0,7.5
G4T,QC,99.0,7.5
G4T,QC,92.0,16.0
G4T,QC,91.0,18.0
G4T,QC,96.0,36.0
G4T,QC,103.0,113.0
G4T,QC,94.0,142.0
G0C,QC,91.0,227.0
G0C,QC,92.0,261.0
G0C,QC,109.0,290.0
G0E,QC,91.0,222.0
G0J,QC,90.0,74.0
G0J,QC,91.0,661.0
G0E,QC,94.0,7.5
G0E,QC,91.0,133.0
G0E,QC,92.0,154.0
G0E,QC,91.0,216.0
G0E,QC,95.0,257.0
G0E,QC,90.0,15.0
G0C,QC,91.0,16.0
G0C,QC,110.0,66.0
G0C,QC,90.0,7.5
G0C,QC,91.0,17.0
G0C,QC,91.0,78.0
G0C,QC,92.0,130.0
G0C,QC,97.0,148.0
G0C,QC,92.0,186.0
G0C,QC,147.0,217.0
G0C,QC,90.0,429.0
G0C,QC,91.0,7.5
G0C,QC,95.0,20.0
G0C,QC,92.0,22.0
G0C,QC,93.0,63.0
G0C,QC,91.0,91.0
G0C,QC,92.0,328.0
G0C,QC,92.0,911.0
G0C,QC,91.0,817.0
G0C,QC,92.0,871.0
G0C,QC,92.0,7.5
G0C,QC,93.0,148.0
G0C,QC,92.0,410.0
G0C,QC,126.0,468.0
G0C,QC,91.0,377.0
G0C,QC,92.0,7.5
G0C,QC,92.0,108.0
G0C,QC,97.0,282.0
G0C,QC,91.0,118.0
G0C,QC,93.0,187.0
G0C,QC,94.0,104.0
G0C,QC,92.0,112.0
G0C,QC,92.0,195.0
G0C,QC,113.0,22.0
G4V,QC,92.0,7.5
G4V,QC,91.0,7.5
G4V,QC,121.0,28.0
G4V,QC,91.0,37.0
G4V,QC,91.0,74.0
G4V,QC,92.0,80.0
G4V,QC,91.0,82.0
G4V,QC,92.0,83.0
G4V,QC,105.0,92.0
G4V,QC,98.0,113.0
G4V,QC,91.0,116.0
G4V,QC,130.0,120.0
G4V,QC,91.0,131.0
G4V,QC,92.0,163.0
G4V,QC,93.0,192.0
G4V,QC,91.0,260.0
G4V,QC,116.0,357.0
G4V,QC,92.0,447.0
G4V,QC,93.0,505.0
G0C,QC,90.0,123.0
G0C,QC,91.0,105.0
G0C,QC,96.0,236.0
G0C,QC,90.0,80.0
G0C,QC,91.0,412.0
G0C,QC,115.0,463.0
G0C,QC,92.0,7.5
G0C,QC,91.0,7.5
G0C,QC,91.0,7.5
G0C,QC,91.0,21.0
G0N,QC,92.0,7.5
G0N,QC,92.0,31.0
G0N,QC,91.0,34.0
G0N,QC,91.0,95.0
G0R,QC,92.0,131.0
G5X,QC,92.0,37.0
G5X,QC,92.0,42.0
G5X,QC,90.0,461.0
G0R,QC,93.0,292.0
G0R,QC,90.0,7.5
G0R,QC,90.0,38.0
G0R,QC,91.0,79.0
G0R,QC,94.0,92.0
G0R,QC,93.0,95.0
*,QC,92.0,24.0
G0N,QC,101.0,73.0
G0N,QC,97.0,7.5
G0S,QC,91.0,7.5
G0S,QC,96.0,20.0
G0S,QC,130.0,79.0
G0R,QC,91.0,260.0
G0R,QC,92.0,30.0
G0R,QC,91.0,7.5
G0R,QC,94.0,67.0
G0R,QC,110.0,91.0
G0R,QC,91.0,72.0
G0S,QC,61.0,17.0
G0S,QC,89.0,22.0
G0S,QC,113.0,20.0
G6V,QC,92.0,7.5
G6V,QC,94.0,56.0
G6W,QC,92.0,19.0
G6W,QC,96.0,37.0
G6W,QC,91.0,47.0
G0R,QC,91.0,32.0
G0R,QC,97.0,41.0
G0R,QC,91.0,249.0
G0R,QC,93.0,7.5
G5V,QC,104.0,7.5
G5V,QC,91.0,7.5
G5V,QC,92.0,17.0
G5V,QC,90.0,20.0
G5V,QC,95.0,35.0
G5V,QC,96.0,79.0
G5V,QC,91.0,117.0
G0M,QC,124.0,43.0
G0M,QC,91.0,179.0
G0R,QC,90.0,24.0
G0R,QC,134.0,7.5
G0R,QC,95.0,18.0
G0R,QC,96.0,7.5
G0R,QC,93.0,21.0
G0R,QC,93.0,113.0
G0S,QC,98.0,66.0
G0S,QC,137.0,185.0
G0S,QC,91.0,7.5
G0S,QC,97.0,7.5
G0S,QC,91.0,34.0
G0S,QC,92.0,137.0
G0R,QC,91.0,53.0
G0R,QC,92.0,114.0
G0R,QC,96.0,259.0
G0M,QC,112.0,7.5
G0S,QC,96.0,7.5
G0S,QC,91.0,31.0
G0R,QC,90.0,38.0
G0M,QC,91.0,66.0
G0R,QC,184.0,168.0
G0S,QC,90.0,18.0
G0R,QC,90.0,20.0
G0M,QC,92.0,7.5
G0M,QC,91.0,53.0
G0R,QC,106.0,7.5
G0S,QC,126.0,7.5
G0S,QC,94.0,20.0
G0S,QC,91.0,35.0
G6E,QC,93.0,7.5
G6E,QC,113.0,7.5
G6E,QC,92.0,7.5
G6E,QC,98.0,24.0
G6E,QC,94.0,34.0
G6E,QC,91.0,43.0
G6E,QC,116.0,85.0
G6E,QC,100.0,88.0
G6E,QC,91.0,136.0
G6E,QC,91.0,245.0
G6E,QC,90.0,542.0
G6E,QC,122.0,59.0
G0R,QC,92.0,28.0
G0R,QC,123.0,234.0
G0R,QC,90.0,7.5
G0R,QC,92.0,39.0
*,QC,113.0,7.5
G0R,QC,109.0,126.0
G0M,QC,149.0,19.0
G0M,QC,101.0,102.0
G5Y,QC,93.0,7.5
G5Y,QC,96.0,19.0
G5Y,QC,97.0,22.0
G5Y,QC,96.0,49.0
G5Y,QC,119.0,56.0
G5Y,QC,101.0,97.0
G5Y,QC,96.0,158.0
G5Y,QC,91.0,230.0
G5Y,QC,91.0,455.0
*,QC,118.0,979.0
*,QC,140.0,409.0
G0S,QC,91.0,7.5
G0M,QC,92.0,165.0
G6Z,QC,109.0,7.5
G6Z,QC,91.0,16.0
G6Z,QC,142.0,27.0
G6Z,QC,92.0,260.0
G0R,QC,92.0,7.5
G0R,QC,91.0,548.0
G0S,QC,95.0,7.5
G0S,QC,92.0,82.0
G0N,QC,97.0,28.0
G0N,QC,96.0,321.0
G0N,QC,91.0,116.0
G0S,QC,90.0,7.5
G0S,QC,93.0,79.0
G0S,QC,90.0,472.0
G0R,QC,92.0,7.5
G0R,QC,91.0,123.0
G0R,QC,92.0,268.0
G0R,QC,91.0,277.0
G0R,QC,108.0,16.0
G0R,QC,92.0,52.0
G0S,QC,92.0,45.0
G7A,QC,91.0,7.5
G7A,QC,98.0,7.5
G0S,QC,97.0,315.0
G0R,QC,91.0,39.0
G0S,QC,91.0,31.0
G0S,QC,92.0,35.0
G0R,QC,98.0,59.0
G0M,QC,106.0,273.0
G0M,QC,95.0,7.5
G0M,QC,92.0,31.0
G0M,QC,91.0,16.0
G0M,QC,92.0,19.0
G0M,QC,90.0,20.0
G0M,QC,100.0,149.0
G0R,QC,95.0,41.0
G0R,QC,91.0,30.0
G0S,QC,95.0,81.0
G0N,QC,96.0,91.0
G0N,QC,121.0,85.0
G0R,QC,108.0,31.0
G0R,QC,112.0,52.0
G0R,QC,97.0,73.0
G0M,QC,91.0,16.0
G0M,QC,94.0,121.0
G0M,QC,95.0,7.5
G0M,QC,92.0,56.0
G0M,QC,91.0,155.0
G0M,QC,94.0,313.0
G0M,QC,92.0,412.0
G0S,QC,92.0,7.5
G0S,QC,91.0,18.0
G0S,QC,91.0,223.0
G6G,QC,92.0,7.5
G6G,QC,92.0,7.5
G6G,QC,106.0,7.5
G6G,QC,98.0,7.5
G6G,QC,91.0,7.5
G6G,QC,94.0,18.0
G6G,QC,91.0,21.0
G6G,QC,91.0,22.0
G6G,QC,94.0,82.0
G0N,QC,91.0,38.0
G0N,QC,91.0,44.0
G0S,QC,93.0,7.5
G0S,QC,110.0,26.0
H7K,QC,93.0,18.0
H7W,QC,91.0,558.0
H7W,QC,95.0,29.0
H7P,QC,94.0,18.0
H7P,QC,90.0,185.0
H7P,QC,90.0,7.5
H7A,QC,150.0,7.5
H7A,QC,93.0,153.0
H7A,QC,139.0,201.0
H7A,QC,91.0,227.0
H7A,QC,95.0,263.0
H7A,QC,96.0,281.0
*,QC,92.0,7.5
*,QC,131.0,21.0
H7E,QC,104.0,7.5
H7E,QC,92.0,19.0
H7E,QC,101.0,27.0
H7E,QC,91.0,33.0
H7E,QC,93.0,91.0
H7E,QC,92.0,120.0
H7E,QC,125.0,202.0
H7G,QC,93.0,18.0
H7G,QC,91.0,18.0
H7G,QC,102.0,33.0
H7G,QC,94.0,40.0
H7G,QC,93.0,46.0
H7G,QC,105.0,61.0
H7G,QC,91.0,72.0
H7H,QC,94.0,7.5
H7H,QC,92.0,17.0
H7H,QC,61.0,26.0
H7H,QC,95.0,27.0
H7H,QC,90.0,31.0
H7H,QC,90.0,58.0
H7H,QC,96.0,62.0
H7H,QC,92.0,84.0
H7H,QC,98.0,118.0
H7H,QC,95.0,131.0
*,QC,91.0,7.5
H7K,QC,90.0,33.0
H7K,QC,102.0,35.0
H7K,QC,91.0,38.0
H7K,QC,100.0,71.0
H7K,QC,91.0,85.0
H7K,QC,95.0,85.0
H7K,QC,103.0,90.0
H7L,QC,92.0,7.5
H7L,QC,96.0,7.5
H7L,QC,91.0,18.0
H7L,QC,97.0,40.0
H7L,QC,91.0,54.0
H7L,QC,98.0,98.0
H7L,QC,92.0,104.0
H7L,QC,97.0,114.0
H7L,QC,93.0,133.0
H7L,QC,91.0,135.0
H7L,QC,130.0,135.0
H7L,QC,89.0,194.0
H7M,QC,93.0,28.0
H7M,QC,96.0,33.0
H7M,QC,90.0,238.0
H7M,QC,91.0,1607.0
H7N,QC,118.0,7.5
H7N,QC,103.0,7.5
H7N,QC,92.0,15.0
H7N,QC,92.0,16.0
H7N,QC,94.0,33.0
